place,institution,wish name,number of spots,admission percentage,section 1,section 2,subjects 1,subjects 2,subjects 3,international,relative overall average,absolute value overall average,french grade
,IPAG,SESAME PGE Bac+5 American Track Campus de Paris-Nice,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,1,1
NICE,IPAG,SESAME PGE Bac+5 Management et Ingénierie,,,COMMERCE,INGENIEUR,[],"['Maths', 'PC', 'SES', 'MATHS COMPLEMENTAIRES', 'MATHS EXPERTES']",[],0,1,1,1
BORDEAUX,KEDGE,SESAME - Programme Grande Ecole Bac + 5 - EBP International,270,55,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,2,2,2
,NEOMA,SESAME TEMA – PGE Bac +5 Innovation et Digital Management - Paris - Reims - Rouen,120,60,COMMERCE,DIGITAL E-BUSINESS,['Maths'],"['SES', 'MATHS COMPLEMENTAIRES', 'MATHS EXPERTES']",[],0,2,2,2
PARIS,PSB Paris School of Business,SESAME PGE Bac+5 - International Track – Paris 13e,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,1,1
PARIS,PSB Paris School of Business,SESAME PGE Bac+5 - French Track – Paris 13e,,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,1,1,1
MILAN,PSB Paris School of Business,"SESAME PGE Bac+5 - European Track –Milan, Munich puis Londres",30,,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,1,1,1
,EDHEC,International BBA Bac + 4 - Parcours Global Business Nice/USA/Singapour,20,7,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,4,5,3
"NICE, LILLE",EDHEC,"International BBA Bac +4 - Parcours Business Management - French Track Nice,Lille",225,44,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,3,3,3
"NICE, LILLE",EDHEC,"International BBA Bac +4 - Parcours Business Management - English Track Nice,Lille",120,20,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,3,4,3
ISSY LES MOULINEAUX -LILLE,EDHEC - CATHO DE LILLE,International BBA Bac+4 - Parcours International Law et Finance - Double Diplôme Licence Droit – Issy les Moulineaux/Lille (48 places – 63%),48,60,COMMERCE,DROIT,['Maths'],"['HGGSP', 'SES', 'MATHS COMPLEMENTAIRES']",[],0,3,4,4
,EDHEC - UTCompiègne,International BBA Bac+4 – Parcours double diplôme en Ingénierie Digitale et Management,40,,COMMERCE,INFO. - DATA SCIENCE - IA,['Maths'],"['PC', 'NSI', 'SES', 'MATHS EXPERTES']",[],0,3,4,3
"PARIS, LILLE",IESEG,ACCES PGE Bac+5 - Campus de Paris ou Lille,600,40,COMMERCE,MNGT GENERAL,['Maths'],"['SES', 'MATHS COMPLEMENTAIRES', 'MATHS EXPERTES']",[],0,3,3,3
"PARIS, LILLE",IESEG,Bac + 3 - Bachelor in International Business Paris ou Lille,60,85,COMMERCE,MNGT GENERAL,[],"['Maths', 'SES', 'MATHS COMPLEMENTAIRES']",[],1,2,3,3
